PAH_num,Name,Formula,CAS,SMILES,InChIKey,Molar_Mass_g_mol,Length_A,Width_A,Length_to_Width_Ratio,Vertical_IE_eV,Dipole_Moment_Debye
296,"Dibenzo[b,l]chrysene",C26H16,58029-38-2,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2c2c(cc1)cccc2,SVORCTYYZHCQQO-UHFFFAOYSA-N,328.405,16.79,9.369,1.793,5.2981,604.7032
297,"Dibenzo[a,l]naphthacene",C26H16,226-86-8,c1cc2c(cc1)c1c(cc2)cc2c(c1)cc1c(c2)ccc2c1cccc2,SYWOVGJEUTZUIZ-UHFFFAOYSA-N,328.405,16.67,9.496,1.755,5.1402,325.292
298,Hexaphene,C26H16,222-78-6,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)cc2c(c1)cccc2,PKIFBGYEEVFWTJ-UHFFFAOYSA-N,328.405,18.08,9.844,1.837,5.0967,506.3311
299,Benzo[c]pentaphene,C26H16,222-54-8,c1ccc2c(c1)cc1c(c2)ccc2c1cc1c(c2)c2c(cc1)cccc2,HFLVQBRYQIXJAW-UHFFFAOYSA-N,328.405,18.04,9.166,1.968,5.3661,394.6353
300,"Dibenzo[a,j]naphthacene",C26H16,227-04-3,c1cccc2c1ccc1c2cc2c(c1)cc1c(c2)ccc2c1cccc2,KKWNFCVLJZXKCD-UHFFFAOYSA-N,328.405,17.79,8.986,1.98,5.1321,301.2663
301,Benzo[a]pentacene,C26H16,239-98-5,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)ccc2c1cccc2,PLKNNIMJRPBOSW-UHFFFAOYSA-N,328.405,18.37,9.124,2.013,4.7729,544.8655
302,Benzo[b]picene,C26H16,217-42-5,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2ccc2c1cccc2,JVVYVDMBJGSYKH-UHFFFAOYSA-N,328.405,18.08,8.912,2.028,5.3307,332.3103
303,"Naphtho[2,1-a]naphthacene",C26H16,220-82-6,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)c2c(cc1)cccc2,AFVMDRFUJONSCM-UHFFFAOYSA-N,328.405,18.41,9.011,2.043,4.9824,304.5087
304,"Naphtho[1,2-b]chrysene",C26H16,220-77-9,c1cccc2c1ccc1c2cc2c(c1)c1c(cc2)c2c(cc1)cccc2,IHQGFGQIOMWFFZ-UHFFFAOYSA-N,328.405,17.99,8.726,2.062,5.3552,461.7346
305,"Dibenzo[b,k]chrysene",C26H16,217-54-9,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cc2c(c1)cccc2,DHCSBRKYHMINPB-UHFFFAOYSA-N,328.405,18.42,8.732,2.109,5.1293,291.2842
306,Benzo[c]picene,C26H16,217-37-8,c1ccc2c(c1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cc1)cccc2,BBZGENAFADIERZ-UHFFFAOYSA-N,328.405,18.04,7.96,2.266,5.5076,289.1306
307,Hexacene,C26H16,258-31-1,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2,QSQIGGCOCHABAP-UHFFFAOYSA-N,328.405,18.94,7.429,2.549,4.5062,292.8589
308,"8H-Tribenzo[a,cd,l]pyrene",C27H16,,c1cc2c(cc1)c1cccc3Cc4cccc5c6c(c2c(c45)c13)cccc6,WLUHSEPYUQJORJ-UHFFFAOYSA-N,340.416,13.71,12.75,1.076,5.3171,403.4607
309,"9H-Naphtho[1,2,3-cd]perylene",C27H16,,c1ccc2c(c1)c1ccc3c4c(ccc(C2)c14)c1cccc2c1c3ccc2,SCQLUHCCGDGNQY-UHFFFAOYSA-N,340.416,15.95,9.172,1.739,4.8246,453.8679
310,Truxene,C27H18,548-35-6,c12c(Cc3c2cccc3)c2c3ccccc3Cc2c2c1Cc1c2cccc1,YGPLLMPPZRUGTJ-UHFFFAOYSA-N,342.432,14.35,13.55,1.059,5.6491,412.0031
311,"Diindeno[1,2,3-cd:1',d',3'-jk]pyrene",C28H14,191-23-1,c1c2c(ccc1)c1c3c2ccc2c3c3c(c1)ccc1c3c(c2)c2c1cccc2,YDVDZLWGXFXBRR-UHFFFAOYSA-N,350.411,17.1,9.874,1.732,5.4804,346.1059
312,"Acenaphtho[1,2-k]cyclopenta[cd]fluoranthene",C28H14,30909-04-7,C1=c2c3c(=C1)ccc1=c4c(=c(c31)cc2)cc1c(c4)c2c3c1cccc3ccc2,HODFJLKHOYRPOI-UHFFFAOYSA-N,350.411,16.61,9.197,1.806,5.3089,643.2158
313,"Phenanthro[1,10,9,8-opqra]perylene",C28H14,190-39-6,c1cc2c3c(c1)cc1cccc4c1c3c1c3c2cccc3cc2c1c4ccc2,RYQHWGXLBQHJST-UHFFFAOYSA-N,350.411,13.76,12.89,1.067,4.4817,473.4082
314,"Benzo[cd]naphtho[3,2,1,8-pqra]perylene",C28H14,6208-20-4,c1cc2cc3cccc4c3c3c2c2c1cccc2c1ccc2cccc4c2c31,YTVPKKBRBQUNKG-UHFFFAOYSA-N,350.411,13.77,11.65,1.182,4.9661,504.8946
315,Benzo[a]coronene,C28H14,190-70-5,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6ccc2c2c1c3c4c5c62,NQSLOOOUQZYGEB-UHFFFAOYSA-N,350.411,14.1,11.65,1.21,5.3634,515.6965
316,"Phenanthro[5,4,3,2-abcde]perylene",C28H14,75449-92-2,c1cc2cc3ccc4c5c3c3c2c2c1cccc2c1c3c(c5ccc4)ccc1,JVKZNQCIWUWOJD-UHFFFAOYSA-N,350.411,14.11,11.66,1.211,5.3743,530.2252
317,"Benzo[lmn]naphtho[2,1,8-qra]perylene",C28H14,75449-94-4,c1cc2cc3ccc4ccc5c6c4c3c3c(cc4c(c23)c1ccc4)c6ccc5,CPOHOZKFLNGLFK-UHFFFAOYSA-N,350.411,14.27,11.11,1.285,4.9878,464.8247
318,"Benzo[pqr]naphtho[8,1,2-bcd]perylene",C28H14,190-71-6,c1cc2c3c(c1)c1c4c5c3c(cc2)ccc5c2cccc3c2c4c(cc1)cc3,VEABCKAXWWRBAF-UHFFFAOYSA-N,350.411,13.8,10.4,1.326,5.1593,538.1522
319,"Phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene",C28H14,4552-79-8,c1ccc2cc3ccc4cc5cccc6c5c5c4c3c3c(ccc1c23)c5cc6,PKSIOGZIVYYQKJ-UHFFFAOYSA-N,350.411,15.85,10.45,1.517,4.7756,354.4407
320,peri-Naphthacenonaphthacene,C28H14,180-50-1,c1ccc2cc3cc4ccc5cccc6c5c4c4c(c6)cc5c(c34)c2c1cc5,MWSANRVRFBGEOO-UHFFFAOYSA-N,350.411,15.28,9.547,1.601,4.6776,369.2149
321,"Fluoreno[9,1-ab]triphenylene",C28H16,136276-45-4,c1c2c(ccc1)c1c(c3c2cccc3)c2c3ccccc3c3c2c(c1)ccc3,BLSBVOQCBIDFSH-UHFFFAOYSA-N,352.427,13.81,11.09,1.246,5.5294,487.1451
322,"Anthra[1,2-a]aceanthrylene",C28H16,203-06-5,c12c(ccc3cc4ccccc4cc13)c1cccc3c1c2c1c(c3)cccc1,ADMFOGGQLGWTGD-UHFFFAOYSA-N,352.427,15.25,11.87,1.284,5.0259,547.0717
323,"Anthra[2,1-a]aceanthrylene",C28H16,203-21-4,c1c2c(ccc1)cc1c(c2)ccc2c1c1c3c2c2c(cc3ccc1)cccc2,VPHATVBTDPTUCM-UHFFFAOYSA-N,352.427,17.24,10.81,1.595,5.0749,395.3348
